Continent,Colony,CurrentNameOfTerritory,PeriodOfTime,ColonialPower,
Asia,Sarawak,Borneo,1888 -1963,Great Britain,
Asia,Siberia,Russia,since 1557,Russia [tbd],
Asia,Singapore,Singapore,1946 -1963,"Great Britain, already trading post from 1824 onwards, self-governing
crown colony from 1959",
Asia,Sho-nan-to-/Syonan-to,Singapore,1942 -1945,Japan,
Asia,Socotra (Socotra, Yemen),Yemen,1507 -1511,Portugal,
Asia,Sohar (Oman),Oman,"1507 -17th
century",Portugal,
Asia,Songhkla,Thailand,1685 -1688,France,
Asia,Straits Settlements,Singapore,1867 -1946,Great Britain,
Asia,Sunda Islands,Sunda Islands,1512 -1861,Portugal,
Asia,Sur, Oman,Oman,"1507 -17th
century",Portugal,
Asia,Surat (India),India,1616 -1795,Netherlands,
Asia,Syria,Syria,1920 -1946,France,
Asia,Syria (Damascus, Aleppo),Syria,1516 -1918,Ottoman Empire [tbd],
Asia,Tabriz (Azerbaijan),Azerbaijan,1585 -1639,Ottoman Empire [tbd],
Asia,Taiwan,Taiwan,1683 -1895,China [tbd],
Asia,Taiwan and Penghu Islands,Taiwan,1895 -1945,Japan,
Asia,Tajikistan,Tajikistan,1868 -1924,Russia [tbd],
Asia,Tibet,Tibet,"1720 -1913
1951 to date","China [tbd], currently part of PR China, disput- ed under public interna-
tional law",
Asia,Tonkin (Viet Nam),Viet Nam,1636 -1699,Netherlands,
Asia,Transjordan,Jordan,1922 -1946,Great Britain,
Asia,"Trucial States (states on the southern coast of the
Persian Gulf )",United Arab Emirates,1835 -1971,Great Britain,
Asia,Turkmenistan,Turkmenistan,1894 -1924,Russia [tbd],
Asia,Ussuri Bay,Russia,1644 -1860,China [tbd],
Asia,"Governor-Generalship Kazakh Steppe (northern
Turkestan)",Kazakhstan,1882 -1917,Russia [tbd],
Asia,"Governor-Generalship
Turkestan",Uzbekistan,1868 -1917,Russia [tbd],
Asia,Uzbekistan,Uzbekistan,1868 -1918,Russia [tbd],
Asia,"Viet Nam (part of French
Indochina)",Viet Nam,1858 -1954,France,
Asia,"Weihai (city in north-east
China)","Weihai (city in north-east
China)",1898 -1930,Great Britain,
Asia,Yemen,Yemen,"1517 -1636
1872 -1918",Ottoman Empire [tbd],
169,
Continent,Colony,Current name of territory,Period of time,Colonial power,
Asia,Yerevan,Armenia,1514 -1618,Ottoman Empire [tbd],
Europe,"Albania (Shkod-r, Vlor-,
Uskub)",Albania,1410 -1912,Ottoman Empire [tbd],
Europe,Azores,Azores,1427 -1766,Portugal,
Europe,"Baltic governorates (Estonia,
Livland and Courland)",Estonia,1721 -1918,Russia [tbd],
Europe,Belarus,Belarus,1793 -1918,Russia [tbd],
Europe,Bessarabia,Ukraine,1488 -1812,Ottoman Empire [tbd],
Europe,Bessarabia,Moldavia,1878 -1917,Russia [tbd],
Europe,Bosnia and Herzegovina,Bosnia,1463 -1908,Ottoman Empire [tbd],
Europe,"Bulgaria (Vidin, Danube
River, Rumelia)",Bulgaria,1395 -1908,Ottoman Empire [tbd],
Europe,Canary Islands,Canary Islands,1479,Spain,
Europe,"Congress Poland, Vistula
River region",Poland,1815 -1916,Russia [tbd],
Europe,Crete,Greece,1669 -1898,Ottoman Empire [tbd],
Europe,Crimea,Crimea,1475 -1783,Ottoman Empire [tbd],
Europe,Cyprus,Cyprus,1570 -1914,Ottoman Empire [tbd],
Europe,Elba,Italy,1557 -1709,Spain,
